"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] CompanyNameComparatorLevenshtein record1Value","[0] CompanyNameComparatorLevenshtein record2Value","[0] CompanyNameComparatorLevenshtein record1PreprocessedValue","[0] CompanyNameComparatorLevenshtein record2PreprocessedValue","[0] CompanyNameComparatorLevenshtein similarity","[0] CompanyNameComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","us_companies_id_1503","fortune_500_id_1356","0.1724137931034483",,"Weather Channel","Huntington Ingalls Industries","Weather Channel","Huntington Ingalls Industries","0.1724137931034483","0.1724137931034483"
"LinearCombinationMatchingRule","us_companies_id_1485","fortune_500_id_1283","0.18181818181818177",,"Urban Airship","Navistar International","Urban Airship","Navistar International","0.18181818181818177","0.18181818181818177"
"LinearCombinationMatchingRule","us_companies_id_1133","fortune_500_id_1342","0.0",,"Dun & Bradstreet","Eastman Chemical","Dun & Bradstreet","Eastman Chemical","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1248","fortune_500_id_1376","0.11111111111111116",,"JJ Keller","Oshkosh","JJ Keller","Oshkosh","0.11111111111111116","0.11111111111111116"
"LinearCombinationMatchingRule","us_companies_id_1514","fortune_500_id_1410","0.0714285714285714",,"Wolters Kluwer","KeyCorp","Wolters Kluwer","KeyCorp","0.0714285714285714","0.0714285714285714"
"LinearCombinationMatchingRule","us_companies_id_1117","fortune_500_id_1061","0.09090909090909094",,"CostQuest","Caterpillar","CostQuest","Caterpillar","0.09090909090909094","0.09090909090909094"
"LinearCombinationMatchingRule","us_companies_id_1138","fortune_500_id_1212","0.4285714285714286",,"Ecodesk","Ecolab","Ecodesk","Ecolab","0.4285714285714286","0.4285714285714286"
"LinearCombinationMatchingRule","us_companies_id_1502","fortune_500_id_1179","0.05555555555555558",,"Way Better Patents","Sherwin-Williams","Way Better Patents","Sherwin-Williams","0.05555555555555558","0.05555555555555558"
"LinearCombinationMatchingRule","us_companies_id_1138","fortune_500_id_1216","0.0",,"Ecodesk","Truist Financial","Ecodesk","Truist Financial","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1080","fortune_500_id_1083","0.0",,"CGI","Deere","CGI","Deere","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1239","fortune_500_id_1410","0.0",,"Intelius","KeyCorp","Intelius","KeyCorp","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1080","fortune_500_id_1077","0.0",,"CGI","Dow","CGI","Dow","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1514","fortune_500_id_1424","0.30000000000000004",,"Wolters Kluwer","Builders FirstSource","Wolters Kluwer","Builders FirstSource","0.30000000000000004","0.30000000000000004"
"LinearCombinationMatchingRule","us_companies_id_1503","fortune_500_id_1107","0.2666666666666667",,"Weather Channel","Raytheon","Weather Channel","Raytheon","0.2666666666666667","0.2666666666666667"
"LinearCombinationMatchingRule","us_companies_id_1133","fortune_500_id_1376","0.0625",,"Dun & Bradstreet","Oshkosh","Dun & Bradstreet","Oshkosh","0.0625","0.0625"
"LinearCombinationMatchingRule","us_companies_id_1264","fortune_500_id_1230","0.07407407407407407",,"Lawdragon","Discover Financial Services","Lawdragon","Discover Financial Services","0.07407407407407407","0.07407407407407407"
"LinearCombinationMatchingRule","us_companies_id_1344","fortune_500_id_1083","0.17647058823529416",,"Oversight Systems","Deere","Oversight Systems","Deere","0.17647058823529416","0.17647058823529416"
"LinearCombinationMatchingRule","us_companies_id_1490","fortune_500_id_1083","0.25",,"USSearch","Deere","USSearch","Deere","0.25","0.25"
"LinearCombinationMatchingRule","us_companies_id_1138","fortune_500_id_1208","0.1428571428571429",,"Ecodesk","PPG Industries","Ecodesk","PPG Industries","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","us_companies_id_1248","fortune_500_id_1117","0.11111111111111116",,"JJ Keller","Paccar","JJ Keller","Paccar","0.11111111111111116","0.11111111111111116"
"LinearCombinationMatchingRule","us_companies_id_1485","fortune_500_id_1061","0.07692307692307687",,"Urban Airship","Caterpillar","Urban Airship","Caterpillar","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","us_companies_id_1264","fortune_500_id_1480","0.11111111111111116",,"Lawdragon","Olin","Lawdragon","Olin","0.11111111111111116","0.11111111111111116"
"LinearCombinationMatchingRule","us_companies_id_1344","fortune_500_id_1077","0.0",,"Oversight Systems","Dow","Oversight Systems","Dow","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1514","fortune_500_id_1430","0.2142857142857143",,"Wolters Kluwer","Owens Corning","Wolters Kluwer","Owens Corning","0.2142857142857143","0.2142857142857143"
"LinearCombinationMatchingRule","us_companies_id_1248","fortune_500_id_1355","0.0",,"JJ Keller","Mosaic","JJ Keller","Mosaic","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1264","fortune_500_id_1243","0.08333333333333337",,"Lawdragon","State Street","Lawdragon","State Street","0.08333333333333337","0.08333333333333337"
"LinearCombinationMatchingRule","us_companies_id_1248","fortune_500_id_1354","0.08333333333333337",,"JJ Keller","Air Products & Chemicals","JJ Keller","Air Products & Chemicals","0.08333333333333337","0.08333333333333337"
"LinearCombinationMatchingRule","us_companies_id_1248","fortune_500_id_1112","0.16666666666666663",,"JJ Keller","U.S. Bancorp","JJ Keller","U.S. Bancorp","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","us_companies_id_1117","fortune_500_id_1077","0.11111111111111116",,"CostQuest","Dow","CostQuest","Dow","0.11111111111111116","0.11111111111111116"
"LinearCombinationMatchingRule","us_companies_id_1183","fortune_500_id_1424","0.1428571428571429",,"Galorath Incorporated","Builders FirstSource","Galorath Incorporated","Builders FirstSource","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","us_companies_id_1138","fortune_500_id_1230","0.14814814814814814",,"Ecodesk","Discover Financial Services","Ecodesk","Discover Financial Services","0.14814814814814814","0.14814814814814814"
"LinearCombinationMatchingRule","us_companies_id_1502","fortune_500_id_1151","0.16666666666666663",,"Way Better Patents","DuPont","Way Better Patents","DuPont","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","us_companies_id_1117","fortune_500_id_1480","0.11111111111111116",,"CostQuest","Olin","CostQuest","Olin","0.11111111111111116","0.11111111111111116"
"LinearCombinationMatchingRule","us_companies_id_1309","fortune_500_id_1376","0.125",,"Municode","Oshkosh","Municode","Oshkosh","0.125","0.125"
"LinearCombinationMatchingRule","us_companies_id_1344","fortune_500_id_1024","0.05882352941176472",,"Oversight Systems","Bank of America","Oversight Systems","Bank of America","0.05882352941176472","0.05882352941176472"
"LinearCombinationMatchingRule","us_companies_id_1080","fortune_500_id_1061","0.18181818181818177",,"CGI","Caterpillar","CGI","Caterpillar","0.18181818181818177","0.18181818181818177"
"LinearCombinationMatchingRule","us_companies_id_1133","fortune_500_id_1390","0.125",,"Dun & Bradstreet","Westlake","Dun & Bradstreet","Westlake","0.125","0.125"
"LinearCombinationMatchingRule","us_companies_id_1248","fortune_500_id_1349","0.0",,"JJ Keller","AGCO","JJ Keller","AGCO","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1485","fortune_500_id_1230","0.2222222222222222",,"Urban Airship","Discover Financial Services","Urban Airship","Discover Financial Services","0.2222222222222222","0.2222222222222222"
"LinearCombinationMatchingRule","us_companies_id_1117","fortune_500_id_1243","0.25",,"CostQuest","State Street","CostQuest","State Street","0.25","0.25"
"LinearCombinationMatchingRule","us_companies_id_1265","fortune_500_id_1424","0.13636363636363635",,"Legal Science Partners","Builders FirstSource","Legal Science Partners","Builders FirstSource","0.13636363636363635","0.13636363636363635"
"LinearCombinationMatchingRule","us_companies_id_1248","fortune_500_id_1342","0.125",,"JJ Keller","Eastman Chemical","JJ Keller","Eastman Chemical","0.125","0.125"
"LinearCombinationMatchingRule","us_companies_id_1502","fortune_500_id_1390","0.2777777777777778",,"Way Better Patents","Westlake","Way Better Patents","Westlake","0.2777777777777778","0.2777777777777778"
"LinearCombinationMatchingRule","us_companies_id_1248","fortune_500_id_1102","0.0",,"JJ Keller","3M","JJ Keller","3M","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1264","fortune_500_id_1410","0.0",,"Lawdragon","KeyCorp","Lawdragon","KeyCorp","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1133","fortune_500_id_1151","0.1875",,"Dun & Bradstreet","DuPont","Dun & Bradstreet","DuPont","0.1875","0.1875"
"LinearCombinationMatchingRule","us_companies_id_1264","fortune_500_id_1424","0.15000000000000002",,"Lawdragon","Builders FirstSource","Lawdragon","Builders FirstSource","0.15000000000000002","0.15000000000000002"
"LinearCombinationMatchingRule","us_companies_id_1344","fortune_500_id_1016","0.17647058823529416",,"Oversight Systems","JPMorgan Chase","Oversight Systems","JPMorgan Chase","0.17647058823529416","0.17647058823529416"
"LinearCombinationMatchingRule","us_companies_id_1344","fortune_500_id_1499","0.19047619047619047",,"Oversight Systems","Huntington Bancshares","Oversight Systems","Huntington Bancshares","0.19047619047619047","0.19047619047619047"
"LinearCombinationMatchingRule","us_companies_id_1309","fortune_500_id_1381","0.25",,"Municode","Huntsman","Municode","Huntsman","0.25","0.25"
"LinearCombinationMatchingRule","us_companies_id_1138","fortune_500_id_1469","0.375",,"Ecodesk","Celanese","Ecodesk","Celanese","0.375","0.375"
"LinearCombinationMatchingRule","us_companies_id_1445","fortune_500_id_1283","0.18181818181818177",,"Sterling Infosystems","Navistar International","Sterling Infosystems","Navistar International","0.18181818181818177","0.18181818181818177"
"LinearCombinationMatchingRule","us_companies_id_1485","fortune_500_id_1480","0.07692307692307687",,"Urban Airship","Olin","Urban Airship","Olin","0.07692307692307687","0.07692307692307687"
"LinearCombinationMatchingRule","us_companies_id_1117","fortune_500_id_1016","0.1428571428571429",,"CostQuest","JPMorgan Chase","CostQuest","JPMorgan Chase","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","us_companies_id_1485","fortune_500_id_1243","0.15384615384615385",,"Urban Airship","State Street","Urban Airship","State Street","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","us_companies_id_1265","fortune_500_id_1410","0.13636363636363635",,"Legal Science Partners","KeyCorp","Legal Science Partners","KeyCorp","0.13636363636363635","0.13636363636363635"
"LinearCombinationMatchingRule","us_companies_id_1117","fortune_500_id_1499","0.1428571428571429",,"CostQuest","Huntington Bancshares","CostQuest","Huntington Bancshares","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","us_companies_id_1503","fortune_500_id_1393","0.1333333333333333",,"Weather Channel","JetBlue Airways","Weather Channel","JetBlue Airways","0.1333333333333333","0.1333333333333333"
"LinearCombinationMatchingRule","us_companies_id_1133","fortune_500_id_1381","0.1875",,"Dun & Bradstreet","Huntsman","Dun & Bradstreet","Huntsman","0.1875","0.1875"
"LinearCombinationMatchingRule","us_companies_id_1502","fortune_500_id_1376","0.0",,"Way Better Patents","Oshkosh","Way Better Patents","Oshkosh","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1133","fortune_500_id_1179","0.0",,"Dun & Bradstreet","Sherwin-Williams","Dun & Bradstreet","Sherwin-Williams","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1138","fortune_500_id_1016","0.1428571428571429",,"Ecodesk","JPMorgan Chase","Ecodesk","JPMorgan Chase","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","us_companies_id_1138","fortune_500_id_1499","0.09523809523809523",,"Ecodesk","Huntington Bancshares","Ecodesk","Huntington Bancshares","0.09523809523809523","0.09523809523809523"
"LinearCombinationMatchingRule","us_companies_id_1309","fortune_500_id_1151","0.25",,"Municode","DuPont","Municode","DuPont","0.25","0.25"
"LinearCombinationMatchingRule","us_companies_id_1485","fortune_500_id_1499","0.2857142857142857",,"Urban Airship","Huntington Bancshares","Urban Airship","Huntington Bancshares","0.2857142857142857","0.2857142857142857"
"LinearCombinationMatchingRule","us_companies_id_1485","fortune_500_id_1016","0.2142857142857143",,"Urban Airship","JPMorgan Chase","Urban Airship","JPMorgan Chase","0.2142857142857143","0.2142857142857143"
"LinearCombinationMatchingRule","us_companies_id_1309","fortune_500_id_1390","0.125",,"Municode","Westlake","Municode","Westlake","0.125","0.125"
"LinearCombinationMatchingRule","us_companies_id_1117","fortune_500_id_1024","0.1333333333333333",,"CostQuest","Bank of America","CostQuest","Bank of America","0.1333333333333333","0.1333333333333333"
"LinearCombinationMatchingRule","us_companies_id_1503","fortune_500_id_1140","0.33333333333333337",,"Weather Channel","Southwest Airlines","Weather Channel","Southwest Airlines","0.33333333333333337","0.33333333333333337"
"LinearCombinationMatchingRule","us_companies_id_1344","fortune_500_id_1283","0.18181818181818177",,"Oversight Systems","Navistar International","Oversight Systems","Navistar International","0.18181818181818177","0.18181818181818177"
"LinearCombinationMatchingRule","us_companies_id_1264","fortune_500_id_1430","0.15384615384615385",,"Lawdragon","Owens Corning","Lawdragon","Owens Corning","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","us_companies_id_1265","fortune_500_id_1208","0.31818181818181823",,"Legal Science Partners","PPG Industries","Legal Science Partners","PPG Industries","0.31818181818181823","0.31818181818181823"
"LinearCombinationMatchingRule","us_companies_id_1138","fortune_500_id_1243","0.16666666666666663",,"Ecodesk","State Street","Ecodesk","State Street","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","us_companies_id_1264","fortune_500_id_1208","0.0714285714285714",,"Lawdragon","PPG Industries","Lawdragon","PPG Industries","0.0714285714285714","0.0714285714285714"
"LinearCombinationMatchingRule","us_companies_id_1265","fortune_500_id_1430","0.2272727272727273",,"Legal Science Partners","Owens Corning","Legal Science Partners","Owens Corning","0.2272727272727273","0.2272727272727273"
"LinearCombinationMatchingRule","us_companies_id_1445","fortune_500_id_1061","0.15000000000000002",,"Sterling Infosystems","Caterpillar","Sterling Infosystems","Caterpillar","0.15000000000000002","0.15000000000000002"
"LinearCombinationMatchingRule","us_companies_id_1080","fortune_500_id_1283","0.045454545454545414",,"CGI","Navistar International","CGI","Navistar International","0.045454545454545414","0.045454545454545414"
"LinearCombinationMatchingRule","us_companies_id_1485","fortune_500_id_1024","0.19999999999999996",,"Urban Airship","Bank of America","Urban Airship","Bank of America","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","us_companies_id_1502","fortune_500_id_1381","0.16666666666666663",,"Way Better Patents","Huntsman","Way Better Patents","Huntsman","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","us_companies_id_1138","fortune_500_id_1480","0.1428571428571429",,"Ecodesk","Olin","Ecodesk","Olin","0.1428571428571429","0.1428571428571429"
"LinearCombinationMatchingRule","us_companies_id_1502","fortune_500_id_1354","0.16666666666666663",,"Way Better Patents","Air Products & Chemicals","Way Better Patents","Air Products & Chemicals","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","us_companies_id_1502","fortune_500_id_1112","0.16666666666666663",,"Way Better Patents","U.S. Bancorp","Way Better Patents","U.S. Bancorp","0.16666666666666663","0.16666666666666663"
"LinearCombinationMatchingRule","us_companies_id_1502","fortune_500_id_1355","0.05555555555555558",,"Way Better Patents","Mosaic","Way Better Patents","Mosaic","0.05555555555555558","0.05555555555555558"
"LinearCombinationMatchingRule","us_companies_id_1490","fortune_500_id_1230","0.18518518518518523",,"USSearch","Discover Financial Services","USSearch","Discover Financial Services","0.18518518518518523","0.18518518518518523"
"LinearCombinationMatchingRule","us_companies_id_1502","fortune_500_id_1117","0.11111111111111116",,"Way Better Patents","Paccar","Way Better Patents","Paccar","0.11111111111111116","0.11111111111111116"
"LinearCombinationMatchingRule","us_companies_id_1445","fortune_500_id_1230","0.2962962962962963",,"Sterling Infosystems","Discover Financial Services","Sterling Infosystems","Discover Financial Services","0.2962962962962963","0.2962962962962963"
"LinearCombinationMatchingRule","us_companies_id_1401","fortune_500_id_1355","0.19999999999999996",,"Relationship Science","Mosaic","Relationship Science","Mosaic","0.19999999999999996","0.19999999999999996"
"LinearCombinationMatchingRule","us_companies_id_1008","fortune_500_id_1349","0.125",,"Adaptive","AGCO","Adaptive","AGCO","0.125","0.125"
"LinearCombinationMatchingRule","us_companies_id_1401","fortune_500_id_1354","0.20833333333333337",,"Relationship Science","Air Products & Chemicals","Relationship Science","Air Products & Chemicals","0.20833333333333337","0.20833333333333337"
"LinearCombinationMatchingRule","us_companies_id_1401","fortune_500_id_1112","0.09999999999999998",,"Relationship Science","U.S. Bancorp","Relationship Science","U.S. Bancorp","0.09999999999999998","0.09999999999999998"
"LinearCombinationMatchingRule","us_companies_id_1485","fortune_500_id_1430","0.15384615384615385",,"Urban Airship","Owens Corning","Urban Airship","Owens Corning","0.15384615384615385","0.15384615384615385"
"LinearCombinationMatchingRule","us_companies_id_1008","fortune_500_id_1102","0.0",,"Adaptive","3M","Adaptive","3M","0.0","0.0"
"LinearCombinationMatchingRule","us_companies_id_1008","fortune_500_id_1342","0.1875",,"Adaptive","Eastman Chemical","Adaptive","Eastman Chemical","0.1875","0.1875"
"LinearCombinationMatchingRule","us_companies_id_1080","fortune_500_id_1016","0.0714285714285714",,"CGI","JPMorgan Chase","CGI","JPMorgan Chase","0.0714285714285714","0.0714285714285714"
"LinearCombinationMatchingRule","us_companies_id_1080","fortune_500_id_1499","0.04761904761904767",,"CGI","Huntington Bancshares","CGI","Huntington Bancshares","0.04761904761904767","0.04761904761904767"
