"us_companies_id_1146","top_2000_id_1620","1.0"
"us_companies_id_1514","top_2000_id_2533","1.0"
"us_companies_id_1412","top_2000_id_1201","1.0"
"us_companies_id_1005","top_2000_id_1305","1.0"
"us_companies_id_1461","top_2000_id_2528","1.0"
"us_companies_id_1304","top_2000_id_1425","1.0"
"us_companies_id_1086","top_2000_id_1018","1.0"
"us_companies_id_1221","top_2000_id_1032","1.0"
"us_companies_id_1456","top_2000_id_2066","1.0"
"us_companies_id_1520","top_2000_id_1602","1.0"
"us_companies_id_1044","top_2000_id_1009","1.0"
"us_companies_id_1050","top_2000_id_1245","1.0"
"us_companies_id_1012","top_2000_id_1024","1.0"
"us_companies_id_1303","top_2000_id_2279","1.0"
"us_companies_id_1178","top_2000_id_1516","1.0"
"us_companies_id_1158","top_2000_id_2080","1.0"
"us_companies_id_1066","top_2000_id_1172","1.0"
"us_companies_id_1470","top_2000_id_1344","1.0"
"us_companies_id_1141","top_2000_id_1217","1.0"
"us_companies_id_1078","top_2000_id_2372","1.0"
"us_companies_id_1399","top_2000_id_1482","1.0"
"us_companies_id_1085","top_2000_id_1327","1.0"
"us_companies_id_1298","top_2000_id_1117","1.0"
