"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Assets","1.0","Assets-{fortune_500_id_1449+us_companies_id_1052}","fortune_500_id_1449+us_companies_id_1052","{0.0|0.0}","0.0","true","0.0"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1014}","us_companies_id_1014","{Not reported by company}","Not reported by company",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1459}","us_companies_id_1459","{1999}","1999",,
"Name","0.0","Name-{fortune_500_id_1076+us_companies_id_1273}","fortune_500_id_1076+us_companies_id_1273","{Liberty Mutual Insurance Group|Liberty Mutual Insurance Cos.}","Liberty Mutual Insurance Cos.","true","Liberty Mutual Insurance Cos."
"Name","0.3333333333333333","Name-{fortune_500_id_1016+top_2000_id_1002+us_companies_id_1249}","fortune_500_id_1016+top_2000_id_1002+us_companies_id_1249","{JPMorgan Chase|JPMorgan Chase|J.P. Morgan Chase}","JPMorgan Chase","false","J.P. Morgan Chase"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1002}","us_companies_id_1002","{Subscriptions, User fees for web or mobile access}","Subscriptions, User fees for web or mobile access",,
"Website","1.0","Website-{us_companies_id_1082}","us_companies_id_1082","{https://www.schwab.com}","https://www.schwab.com","true","https://www.schwab.com"
"Marketvalue","0.0","Marketvalue-{fortune_500_id_1449+us_companies_id_1052}","fortune_500_id_1449+us_companies_id_1052","{6.704|0.0}","6.704","true","6.704"
"Marketvalue","0.0","Marketvalue-{fortune_500_id_1497+top_2000_id_2372+us_companies_id_1078}","fortune_500_id_1497+top_2000_id_2372+us_companies_id_1078","{5.693|3.7|0.0}","5.693","true","5.693"
"Hqcity","1.0","Hqcity-{us_companies_id_1514}","us_companies_id_1514","{Minneapolis}","Minneapolis",,
"Name","0.3333333333333333","Name-{fortune_500_id_1060+top_2000_id_1425+us_companies_id_1304}","fortune_500_id_1060+top_2000_id_1425+us_companies_id_1304","{Morgan Stanley|Morgan Stanley|Morgan Stanley}","Morgan Stanley","true","Morgan Stanley"
"Revenue","1.0","Revenue-{top_2000_id_1808+us_companies_id_1364}","top_2000_id_1808+us_companies_id_1364","{0.0|0.0}","0.0",,
"Name","0.5","Name-{fortune_500_id_1035+us_companies_id_1444}","fortune_500_id_1035+us_companies_id_1444","{State Farm Insurance|State Farm Insurance}","State Farm Insurance","true","State Farm Insurance"
"Foundingdate","1.0","Foundingdate-{us_companies_id_1520}","us_companies_id_1520","{1994}","1994",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1303}","us_companies_id_1303","{1909}","1909",,
"Name","0.5","Name-{top_2000_id_1305+us_companies_id_1005}","top_2000_id_1305+us_companies_id_1005","{Accenture|Accenture}","Accenture",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1400}","us_companies_id_1400","{1989}","1989",,
"Marketvalue","0.0","Marketvalue-{top_2000_id_1300+us_companies_id_1227}","top_2000_id_1300+us_companies_id_1227","{41.7|0.0}","0.0",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1412}","us_companies_id_1412","{1972}","1972",,
"Hqcity","1.0","Hqcity-{us_companies_id_1092}","us_companies_id_1092","{West Loop}","West Loop",,
"Revenuesource","1.0","Revenuesource-{us_companies_id_1227}","us_companies_id_1227","{Not reported by company}","Not reported by company",,
"Industry","0.0","Industry-{fortune_500_id_1016+us_companies_id_1249}","fortune_500_id_1016+us_companies_id_1249","{Commercial Banks|Finance & Investment}","Commercial Banks","false","Finance & Investment"
"Revenue","0.3333333333333333","Revenue-{fortune_500_id_1060+top_2000_id_1425+us_companies_id_1304}","fortune_500_id_1060+top_2000_id_1425+us_companies_id_1304","{0.0|0.0|0.0}","0.0","true","0.0"
"Name","0.5","Name-{top_2000_id_1217+us_companies_id_1141}","top_2000_id_1217+us_companies_id_1141","{EMC|EMC}","EMC",,
"Industry","1.0","Industry-{us_companies_id_1281+us_companies_id_1347}","us_companies_id_1281+us_companies_id_1347","{Data/Technology|Data/Technology}","Data/Technology",,
"Assets","1.0","Assets-{top_2000_id_1300+us_companies_id_1227}","top_2000_id_1300+us_companies_id_1227","{0.0|0.0}","0.0",,
"Foundingdate","1.0","Foundingdate-{us_companies_id_1304}","us_companies_id_1304","{1935}","1935","true","1935"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1456}","us_companies_id_1456","{Not reported by company}","Not reported by company",,
"Name","0.5","Name-{top_2000_id_1172+us_companies_id_1066}","top_2000_id_1172+us_companies_id_1066","{Canon|Canon}","Canon","true","Canon"
"Revenuesource","1.0","Revenuesource-{us_companies_id_1444}","us_companies_id_1444","{Not reported by company}","Not reported by company","true","Not reported by company"
"Industry","1.0","Industry-{us_companies_id_1470}","us_companies_id_1470","{Business & Legal Services}","Business & Legal Services","true","Business & Legal Services"
"Website","0.0","Website-{us_companies_id_1240+us_companies_id_1324}","us_companies_id_1240+us_companies_id_1324","{www.intermap.com|www.noveda.com}","www.noveda.com",,
"Website","1.0","Website-{us_companies_id_1052}","us_companies_id_1052","{http://www.boozallen.com}","http://www.boozallen.com","true","http://www.boozallen.com"
"Revenue","1.0","Revenue-{top_2000_id_2001+us_companies_id_1072}","top_2000_id_2001+us_companies_id_1072","{0.0|0.0}","0.0",,
